               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,           0.0098233,            0.025265,           0.0040927,             0.97008,               0.957,             0.98843,             0.96984,           0.0055222,            0.014978,           0.0050138,            0.001882,            0.001882,            0.001882
                 125,            0.010187,            0.026444,           0.0042337,             0.96164,             0.95748,             0.98825,             0.97084,           0.0054608,            0.015069,            0.005434,            0.001816,            0.001816,            0.001816
                 126,            0.010296,              0.0263,           0.0043935,              0.9621,             0.95401,             0.98574,             0.96778,            0.005453,            0.014991,           0.0059208,             0.00175,             0.00175,             0.00175
                 127,           0.0098682,            0.025313,           0.0042488,             0.96543,             0.95513,             0.98604,             0.96809,           0.0054792,            0.015066,           0.0055811,            0.001684,            0.001684,            0.001684
                 128,           0.0097627,            0.025925,           0.0043026,             0.96849,             0.95576,             0.98553,              0.9685,           0.0053864,            0.014852,           0.0056486,            0.001618,            0.001618,            0.001618
                 129,           0.0097116,            0.025864,           0.0041091,             0.96432,             0.95439,             0.98518,               0.968,           0.0053927,            0.014629,           0.0057102,            0.001552,            0.001552,            0.001552
                 130,           0.0097201,            0.026052,           0.0041682,             0.96722,              0.9651,             0.98813,             0.96969,           0.0054156,            0.014741,           0.0048162,            0.001486,            0.001486,            0.001486
                 131,           0.0095962,            0.025447,           0.0041089,             0.96481,             0.96013,             0.98608,             0.96903,           0.0053479,            0.014602,            0.005389,             0.00142,             0.00142,             0.00142
                 132,           0.0095766,            0.024585,           0.0041454,             0.97163,             0.96045,             0.98876,             0.97075,           0.0053008,            0.014481,            0.004727,            0.001354,            0.001354,            0.001354
                 133,           0.0094162,            0.025406,           0.0039327,             0.96728,             0.95427,             0.98562,             0.96868,           0.0052988,            0.014544,           0.0054432,            0.001288,            0.001288,            0.001288
                 134,           0.0093572,            0.025292,           0.0038309,             0.97518,              0.9597,             0.98816,             0.97122,           0.0052803,            0.014472,           0.0044611,            0.001222,            0.001222,            0.001222
                 135,           0.0090404,            0.024991,           0.0037051,             0.97314,              0.9543,             0.98779,             0.97085,           0.0052491,            0.014305,           0.0050413,            0.001156,            0.001156,            0.001156
                 136,           0.0096034,            0.025666,           0.0042318,              0.9673,             0.95771,               0.986,             0.96878,           0.0052979,            0.014456,           0.0053975,             0.00109,             0.00109,             0.00109
